Country,Region,Oil Gas,Production source,Upstream Downstream,Reason,Abatement technology,Abatement Potential,Abatement Cost
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,0.25,-6.199999809265137
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-6.179999828338623
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,0.0199999995529651,-5.840000152587891
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,0.0099999997764825,-5.840000152587891
Japan,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.6200000047683716,-5.840000152587891
Japan,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace compressor seal or rod,0.0,-5.579999923706055
Japan,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace compressor seal or rod,0.0,-5.579999923706055
Japan,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Blowdown capture,0.5899999737739563,-5.570000171661377
India,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,2.75,-5.329999923706055
India,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.9100000262260436,-5.329999923706055
India,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,3.2100000381469727,-5.329999923706055
OASEAN9,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.2800000011920929,-5.320000171661377
OASEAN9,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,2.3399999141693115,-5.320000171661377
OASEAN9,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,0.0599999986588954,-5.320000171661377
Vietnam,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,1.159999966621399,-5.320000171661377
China,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,5.510000228881836,-5.320000171661377
Brunei,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,0.6100000143051147,-5.320000171661377
China,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,3.9800000190734863,-5.320000171661377
China,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,1.399999976158142,-5.320000171661377
Malaysia,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,4.619999885559082,-5.320000171661377
Thailand,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.5299999713897705,-5.320000171661377
Thailand,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,2.400000095367432,-5.320000171661377
Vietnam,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.1400000005960464,-5.320000171661377
Vietnam,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,2.150000095367432,-5.320000171661377
Brunei,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.0299999993294477,-5.320000171661377
Brunei,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,0.8999999761581421,-5.320000171661377
Malaysia,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.4000000059604645,-5.320000171661377
Malaysia,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,5.320000171661377,-5.320000171661377
Philippines,Asia Pacific,Gas,Downstream gas,Downstream,Vented,Replace with instrument air systems,0.0599999986588954,-5.320000171661377
Philippines,Asia Pacific,Gas,Offshore gas,Upstream,Vented,Replace with instrument air systems,0.449999988079071,-5.320000171661377
Philippines,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,0.25,-5.320000171661377
Thailand,Asia Pacific,Oil,Offshore oil,Upstream,Vented,Replace with instrument air systems,1.7100000381469729,-5.320000171661377
Japan,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Replace pumps,0.0599999986588954,-5.28000020980835
OASEAN9,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,0.0599999986588954,-5.269999980926514
Brunei,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,0.0199999995529651,-5.269999980926514
Thailand,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,0.209999993443489,-5.269999980926514
China,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,16.139999389648438,-5.239999771118164
China,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,16.1299991607666,-5.239999771118164
India,Asia Pacific,Gas,Onshore conventional gas,Upstream,Vented,Replace pumps,0.9300000071525574,-5.230000019073486
India,Asia Pacific,Gas,Unconventional gas,Upstream,Vented,Replace pumps,0.6399999856948853,-5.230000019073486
China,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.2199999988079071,-5.190000057220459
India,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0299999993294477,-5.170000076293945
Malaysia,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-5.170000076293945
Brunei,Asia Pacific,Oil,Onshore conventional oil,Upstream,Vented,Blowdown capture,0.0,-5.170000076293945
